NUMERO_TRAMITE;CODIGO_EMPLEADO;DNI;NOTA_TEORICO;NOTA_PRACTICO;TIPO_VEHICULO
1941794237;429;458585316;22;80;camioneta
1387547828;814;478052674;56;90;camion
2773028170;542;739427660;92;45;camion
2169716053;508;610226472;47;90;camion
2305361251;1;766474768;0;6;camioneta
2107367313;669;328248179;43;81;camion
1233522070;552;360708250;73;36;camioneta
1066623362;915;369955338;46;3;camion
2132904752;526;521083059;21;47;camioneta
1070678467;604;457828111;98;57;camion
1686478999;982;989520445;83;84;auto
2330854141;232;703054450;61;87;camion
2957596766;348;529510940;81;86;camioneta
2226948774;672;445282085;47;16;auto
2920372751;424;478956527;94;26;camioneta
1755733638;726;830728904;95;20;camion
1921356453;952;810549059;27;10;camioneta
